Name,WL,Resp
B4,1528,0
B4,1570,0.004
B4,1580,0.008
B4,1590,0.033
B4,1592.5,0.045
B4,1595,0.074
B4,1597.5,0.099
B4,1600,0.152
B4,1602.5,0.214
B4,1605,0.305
B4,1607.5,0.42
B4,1610,0.597
B4,1612.5,0.675
B4,1615,0.79
B4,1617.5,0.827
B4,1620,0.84
B4,1622.5,0.848
B4,1625,0.901
B4,1627.5,0.905
B4,1630,0.91
B4,1632.5,0.914
B4,1635,0.905
B4,1637.5,0.926
B4,1640,0.947
B4,1642.5,0.967
B4,1645,0.976
B4,1647.5,0.984
B4,1650,0.971
B4,1652.5,0.979
B4,1655,0.988
B4,1657.5,1
B4,1660,0.992
B4,1662.5,0.984
B4,1665,0.978
B4,1667.5,0.971
B4,1670,0.947
B4,1672.5,0.951
B4,1675,0.945
B4,1677.5,0.938
B4,1680,0.934
B4,1682.5,0.93
B4,1685,0.936
B4,1687.5,0.942
B4,1690,0.914
B4,1692.5,0.897
B4,1695,0.798
B4,1697.5,0.7
B4,1700,0.597
B4,1702.5,0.461
B4,1705,0.37
B4,1707.5,0.263
B4,1710,0.173
B4,1720,0.045
B4,1730,0.016
B4,1740,0.004
B4,1750,0.001
B4,1768,0.0002
B4,1816,0
B5,2104,0
B5,2120,0.008
B5,2130,0.02
B5,2132.5,0.029
B5,2135,0.041
B5,2137.5,0.078
B5,2140,0.131
B5,2142.5,0.205
B5,2145,0.303
B5,2147.5,0.541
B5,2150,0.705
B5,2152.5,0.779
B5,2155,0.791
B5,2157.5,0.803
B5,2160,0.822
B5,2162.5,0.84
B5,2165,0.918
B5,2167.5,0.959
B5,2170,1
B5,2172.5,0.975
B5,2175,0.902
B5,2177.5,0.779
B5,2180,0.689
B5,2182.5,0.59
B5,2185,0.418
B5,2187.5,0.303
B5,2190,0.23
B5,2192.5,0.172
B5,2195,0.107
B5,2197.5,0.07
B5,2200,0.061
B5,2202.5,0.0498
B5,2205,0.0385
B5,2207.5,0.0273
B5,2210,0.016
B5,2212.5,0.014
B5,2215,0.012
B5,2217.5,0.01
B5,2220,0.008
B5,2222.5,0.007
B5,2225,0.006
B5,2227.5,0.005
B5,2230,0.004
B5,2234.5,0.0037
B5,2239,0.0033
B5,2243.5,0.003
B5,2248,0.0027
B5,2260,0.002
B5,2272,0.0013
B5,2284,0.0007
B5,2296,0
B6,2104,0
B6,2150,0.008
B6,2160,0.016
B6,2170,0.037
B6,2172.5,0.049
B6,2175,0.066
B6,2177.5,0.107
B6,2180,0.172
B6,2182.5,0.254
B6,2185,0.352
B6,2187.5,0.5
B6,2190,0.602
B6,2192.5,0.742
B6,2195,0.762
B6,2197.5,0.779
B6,2200,0.852
B6,2202.5,0.869
B6,2205,0.886
B6,2207.5,0.902
B6,2210,0.929
B6,2212.5,0.955
B6,2215,0.984
B6,2217.5,1
B6,2220,0.934
B6,2222.5,0.82
B6,2225,0.754
B6,2227.5,0.516
B6,2230,0.328
B6,2232.5,0.238
B6,2235,0.164
B6,2237.5,0.107
B6,2240,0.057
B6,2242.5,0.0468
B6,2245,0.0365
B6,2247.5,0.0263
B6,2250,0.016
B6,2252.5,0.014
B6,2255,0.012
B6,2257.5,0.01
B6,2260,0.008
B6,2262.5,0.007
B6,2265,0.006
B6,2267.5,0.005
B6,2270,0.004
B6,2276.5,0.003
B6,2283,0.0021
B6,2289.5,0.0012
B6,2296,0.0002
B6,2344,0
B7,2200,0
B7,2210,0.008
B7,2220,0.025
B7,2222.5,0.033
B7,2225,0.049
B7,2227.5,0.07
B7,2230,0.115
B7,2232.5,0.176
B7,2235,0.25
B7,2237.5,0.385
B7,2240,0.508
B7,2242.5,0.656
B7,2245,0.795
B7,2247.5,0.869
B7,2250,0.848
B7,2252.5,0.91
B7,2255,0.91
B7,2257.5,0.926
B7,2260,0.926
B7,2262.5,0.943
B7,2265,0.959
